What is a confusion matrix?;A 2×2 table comparing predictions vs actuals for binary classification. Rows = actual, columns = predicted. Four cells: TP (correctly caught positive), TN (correctly caught negative), FP (false alarm — predicted positive, actually negative), FN (miss — predicted negative, actually positive). Every metric (precision, recall, F1) is derived from these four.
Precision vs Recall — what question does each answer?;Precision = "of everything I flagged positive, how many were actually positive?" = TP/(TP+FP). Punishes false alarms. Recall (TPR) = "of all the actual positives, how many did I catch?" = TP/(TP+FN). Punishes misses. Trade-off: lowering threshold raises recall, lowers precision.
F1 score — what is it and when do you use it?;Harmonic mean of precision and recall: F1 = 2·(P·R)/(P+R). Single number balancing both. Harmonic (not simple average) so it stays low if either one is low. Use when you need one metric AND classes are imbalanced — accuracy would be misleading there.
ROC-AUC — what does it measure?;ROC curve plots TPR (recall) on y vs FPR on x across every threshold. AUC = area under it. 1.0 = perfect, 0.5 = random guessing. It's threshold-independent — measures how well the model ranks positives above negatives overall, not performance at one cutoff.
Sigmoid function — formula + what it does;σ(z) = 1/(1+e^(−z)). Squashes any real number into (0,1) so the output reads as a probability. σ(0)=0.5, large +z → ~1, large −z → ~0. It's the bridge that turns the linear score z=wx+b into a class probability for logistic regression.
Log-loss — formula + why not MSE?;L = −(1/N)·Σ[y·log(p) + (1−y)·log(1−p)]. Heavily penalizes confident wrong predictions (log(p)→−∞ as p→0). Not MSE because with the sigmoid, MSE gives a non-convex loss surface (many local minima) that traps gradient descent; log-loss is convex, so descent reliably finds the minimum.
Classification threshold — what does lowering it do?; Default cutoff for "predict positive" is p≥0.5. Lowering it (e.g. 0.3) flags more cases as positive → recall goes UP (fewer misses), precision goes DOWN (more false alarms). You lower it when a miss is costly — e.g. missing a sick patient in medical screening.
When does logistic regression fail?;When the true class boundary is non-linear (it can only draw a straight/linear boundary — e.g. concentric circles or XOR). Also struggles with heavy multicollinearity (unstable coefficients), extreme class imbalance (predicts majority class, high accuracy but useless), or perfectly separable data without regularization (weights blow up to ±∞).
What breaks in production, and how would you monitor it?; In production, I would monitor both the ML model and the surrounding system. On the data side, I'd watch for schema changes, missing values, invalid values, and data drift using feature statistics or metrics like PSI. On the model side, I'd monitor prediction distributions and, once ground-truth labels are available, track metrics such as precision, recall, F1, and ROC-AUC to detect concept drift. Operationally, I'd monitor API latency, error rates, throughput, CPU and memory usage, and the health of data and retraining pipelines. I would also define alerts so that significant deviations trigger investigation or model retraining.
What is Data drift?; The input data distribution changes compared to training.Ex: In training Age: 20, 50 but in production Age: 90, 80 or In training Smokers:20%, In production: Smokers: 50%
What is Concept drift?; The relation between features and label changes. Previously - Chest pain -> heart disease, Now - people receive better preventive medication.Chest pain no longer predicts heart disease as strongly.The model still sees familiar data but the mapping has changed.
